#Centroids	ppanini_score	alpha_prevalence	beta_prevalence	mean_abundance
UniRef90_F6A3A1	{'VAGINA': 9.2565624343384076}	{'VAGINA': 0.05263157894736842}	0.0526315789474	154.852451409
UniRef90_F6A3A3	{'VAGINA': 11.030676313106376}	{'VAGINA': 0.05263157894736842}	0.0526315789474	227.211878581
UniRef90_F6A3A8	{'VAGINA': 9.483663080340655}	{'VAGINA': 0.05263157894736842}	0.0526315789474	161.687904073
UniRef50_F2NB83	{'VAGINA': 2.7803570270672444}	{'VAGINA': 0.02631578947368421}	0.0263157894737	20.8620829697
UniRef90_U2GJU7	{'VAGINA': 11.544267388058453}	{'VAGINA': 0.10526315789473684}	0.105263157895	228.210445273
UniRef50_C8W767	{'VAGINA': 4.6419193531284826}	{'VAGINA': 0.02631578947368421}	0.0263157894737	38.7734531686
UniRef50_D0GLS9	{'VAGINA': 7.5437944423933567}	{'VAGINA': 0.02631578947368421}	0.0263157894737	155.32823929
UniRef50_B5ZC29	{'VAGINA': 4.348877673564906}	{'VAGINA': 0.02631578947368421}	0.0263157894737	32.6427252279
UniRef90_E3R191	{'VAGINA': 17.946571022795059}	{'VAGINA': 0.5}	0.5	528.8874883
UniRef50_B5ZC26	{'VAGINA': 3.7411236020775935}	{'VAGINA': 0.02631578947368421}	0.0263157894737	26.7383475199
UniRef50_E1KQC4	{'VAGINA': 1.1466270078171144}	{'VAGINA': 0.02631578947368421}	0.0263157894737	10.5910253775
UniRef90_E3D738	{'VAGINA': 9.3018412315900356}	{'VAGINA': 0.05263157894736842}	0.0526315789474	155.915454584
UniRef90_D3LUL5	{'VAGINA': 2.9955399100167583}	{'VAGINA': 0.02631578947368421}	0.0263157894737	22.2509642838
UniRef90_E3D733	{'VAGINA': 10.955175356454465}	{'VAGINA': 0.05263157894736842}	0.0526315789474	221.897564329
UniRef90_E3D734	{'VAGINA': 9.6821502315615007}	{'VAGINA': 0.05263157894736842}	0.0526315789474	166.645029266
UniRef90_E3D735	{'VAGINA': 9.0525790851023711}	{'VAGINA': 0.05263157894736842}	0.0526315789474	148.029873879
UniRef50_P04014	{'VAGINA': 5.9760713625201047}	{'VAGINA': 0.02631578947368421}	0.0263157894737	90.0890909877
UniRef90_UPI0004CEB179	{'VAGINA': 7.4288052512267901}	{'VAGINA': 0.02631578947368421}	0.0263157894737	149.886062792
UniRef90_D3LUL2	{'VAGINA': 4.8288823517261736}	{'VAGINA': 0.02631578947368421}	0.0263157894737	43.7802586574
UniRef90_A0A063AUI1	{'VAGINA': 10.875626687211431}	{'VAGINA': 0.05263157894736842}	0.0526315789474	215.155918192
UniRef90_E3WIQ5	{'VAGINA': 0.60782344710439995}	{'VAGINA': 0.02631578947368421}	0.0263157894737	3.92447529758
UniRef90_A0A084Q606	{'VAGINA': 8.4519111846369448}	{'VAGINA': 0.02631578947368421}	0.0263157894737	201.491333578
UniRef90_E3WIQ7	{'VAGINA': 5.8594185650472372}	{'VAGINA': 0.05263157894736842}	0.0526315789474	52.8607017679
UniRef90_D5AGH7	{'VAGINA': 3.5232700441285321}	{'VAGINA': 0.02631578947368421}	0.0263157894737	25.3240759547
UniRef90_F6A0A8	{'VAGINA': 7.99784718066301}	{'VAGINA': 0.05263157894736842}	0.0526315789474	118.553904602
UniRef90_F6A0A9	{'VAGINA': 9.4426166333373871}	{'VAGINA': 0.05263157894736842}	0.0526315789474	159.984555577
UniRef90_E1NEJ2	{'VAGINA': 15.094104729952432}	{'VAGINA': 0.05263157894736842}	0.0526315789474	470.440250306
UniRef90_D5H0R4	{'VAGINA': 17.725660501606487}	{'VAGINA': 0.5}	0.5	495.389208845
